[     392ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[   92236ms] [WARNING] Invalid keyframe value for property filter: blur(-0.11743px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92236ms] [WARNING] Invalid keyframe value for property filter: blur(-0.10866px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92236ms] [WARNING] Invalid keyframe value for property filter: blur(-0.09942px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92236ms] [WARNING] Invalid keyframe value for property filter: blur(-0.09003px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92236ms] [WARNING] Invalid keyframe value for property filter: blur(-0.08072px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92236ms] [WARNING] Invalid keyframe value for property filter: blur(-0.07171px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92237ms] [WARNING] Invalid keyframe value for property filter: blur(-0.06312px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92237ms] [WARNING] Invalid keyframe value for property filter: blur(-0.05505px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92237ms] [WARNING] Invalid keyframe value for property filter: blur(-0.04758px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92237ms] [WARNING] Invalid keyframe value for property filter: blur(-0.04072px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92237ms] [WARNING] Invalid keyframe value for property filter: blur(-0.03451px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92237ms] [WARNING] Invalid keyframe value for property filter: blur(-0.02893px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92237ms] [WARNING] Invalid keyframe value for property filter: blur(-0.02397px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92237ms] [WARNING] Invalid keyframe value for property filter: blur(-0.01959px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92238ms] [WARNING] Invalid keyframe value for property filter: blur(-0.01577px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92238ms] [WARNING] Invalid keyframe value for property filter: blur(-0.01247px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92238ms] [WARNING] Invalid keyframe value for property filter: blur(-0.00963px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92238ms] [WARNING] Invalid keyframe value for property filter: blur(-0.00723px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[   92356ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[   92703ms] [LOG] [Fast Refresh] done in 449ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[   93026ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[   93129ms] [LOG] [Fast Refresh] done in 203ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[  117899ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[  118259ms] [LOG] [Fast Refresh] done in 460ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[  134420ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[  134672ms] [LOG] [Fast Refresh] done in 352ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[  152460ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[  152826ms] [LOG] [Fast Refresh] done in 466ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[  153400ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[  153662ms] [LOG] [Fast Refresh] done in 363ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[  154087ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[  154326ms] [LOG] [Fast Refresh] done in 341ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[  363163ms] [WARNING] Invalid keyframe value for property filter: blur(-0.03388px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363165ms] [WARNING] Invalid keyframe value for property filter: blur(-0.07179px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363166ms] [WARNING] Invalid keyframe value for property filter: blur(-0.09937px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363167ms] [WARNING] Invalid keyframe value for property filter: blur(-0.11838px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363167ms] [WARNING] Invalid keyframe value for property filter: blur(-0.13032px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363168ms] [WARNING] Invalid keyframe value for property filter: blur(-0.13656px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363169ms] [WARNING] Invalid keyframe value for property filter: blur(-0.13824px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363169ms] [WARNING] Invalid keyframe value for property filter: blur(-0.13639px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363170ms] [WARNING] Invalid keyframe value for property filter: blur(-0.13184px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363170ms] [WARNING] Invalid keyframe value for property filter: blur(-0.12532px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363171ms] [WARNING] Invalid keyframe value for property filter: blur(-0.11743px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363171ms] [WARNING] Invalid keyframe value for property filter: blur(-0.10866px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363172ms] [WARNING] Invalid keyframe value for property filter: blur(-0.09942px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363173ms] [WARNING] Invalid keyframe value for property filter: blur(-0.09003px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363173ms] [WARNING] Invalid keyframe value for property filter: blur(-0.08072px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363174ms] [WARNING] Invalid keyframe value for property filter: blur(-0.07171px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363175ms] [WARNING] Invalid keyframe value for property filter: blur(-0.06312px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363175ms] [WARNING] Invalid keyframe value for property filter: blur(-0.05505px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363176ms] [WARNING] Invalid keyframe value for property filter: blur(-0.04758px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363176ms] [WARNING] Invalid keyframe value for property filter: blur(-0.04072px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363177ms] [WARNING] Invalid keyframe value for property filter: blur(-0.03451px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363178ms] [WARNING] Invalid keyframe value for property filter: blur(-0.02893px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363178ms] [WARNING] Invalid keyframe value for property filter: blur(-0.02397px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363179ms] [WARNING] Invalid keyframe value for property filter: blur(-0.01959px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363180ms] [WARNING] Invalid keyframe value for property filter: blur(-0.01577px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363181ms] [WARNING] Invalid keyframe value for property filter: blur(-0.01247px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363181ms] [WARNING] Invalid keyframe value for property filter: blur(-0.00963px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363182ms] [WARNING] Invalid keyframe value for property filter: blur(-0.00723px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363214ms] [ERROR] Error: <circle> attribute r: Expected length, "undefined". @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:11876
[  363216ms] [ERROR] Error: <circle> attribute r: Expected length, "undefined". @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:11876
[  363216ms] [ERROR] Error: <circle> attribute r: Expected length, "undefined". @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:11876
[  363216ms] [ERROR] Error: <circle> attribute r: Expected length, "undefined". @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:11876
[  363241ms] [WARNING] Invalid keyframe value for property filter: blur(-0.03388px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363242ms] [WARNING] Invalid keyframe value for property filter: blur(-0.07179px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363242ms] [WARNING] Invalid keyframe value for property filter: blur(-0.09937px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363242ms] [WARNING] Invalid keyframe value for property filter: blur(-0.11838px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363242ms] [WARNING] Invalid keyframe value for property filter: blur(-0.13032px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363242ms] [WARNING] Invalid keyframe value for property filter: blur(-0.13656px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363242ms] [WARNING] Invalid keyframe value for property filter: blur(-0.13824px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363242ms] [WARNING] Invalid keyframe value for property filter: blur(-0.13639px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363242ms] [WARNING] Invalid keyframe value for property filter: blur(-0.13184px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363242ms] [WARNING] Invalid keyframe value for property filter: blur(-0.12532px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363242ms] [WARNING] Invalid keyframe value for property filter: blur(-0.11743px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363242ms] [WARNING] Invalid keyframe value for property filter: blur(-0.10866px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363242ms] [WARNING] Invalid keyframe value for property filter: blur(-0.09942px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363243ms] [WARNING] Invalid keyframe value for property filter: blur(-0.09003px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363243ms] [WARNING] Invalid keyframe value for property filter: blur(-0.08072px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363243ms] [WARNING] Invalid keyframe value for property filter: blur(-0.07171px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363243ms] [WARNING] Invalid keyframe value for property filter: blur(-0.06312px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363243ms] [WARNING] Invalid keyframe value for property filter: blur(-0.05505px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363243ms] [WARNING] Invalid keyframe value for property filter: blur(-0.04758px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363243ms] [WARNING] Invalid keyframe value for property filter: blur(-0.04072px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363243ms] [WARNING] Invalid keyframe value for property filter: blur(-0.03451px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363243ms] [WARNING] Invalid keyframe value for property filter: blur(-0.02893px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363243ms] [WARNING] Invalid keyframe value for property filter: blur(-0.02397px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363243ms] [WARNING] Invalid keyframe value for property filter: blur(-0.01959px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363243ms] [WARNING] Invalid keyframe value for property filter: blur(-0.01577px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363243ms] [WARNING] Invalid keyframe value for property filter: blur(-0.01247px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363244ms] [WARNING] Invalid keyframe value for property filter: blur(-0.00963px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363244ms] [WARNING] Invalid keyframe value for property filter: blur(-0.00723px) @ http://localhost:3000/_next/static/chunks/node_modules_0iev9vr._.js:4689
[  363357ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[  363575ms] [LOG] [Fast Refresh] done in 318ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[  508605ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[  508710ms] [LOG] [Fast Refresh] done in 205ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[  596927ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
